name,rarity,color_identity
Gloomfang Mauler,common,B
Gnottvold Hermit,uncommon,Multicolor
Golden-Scale Aeronaut,common,W
"Goreclaw, Terror of Qal Sisma",special,G
Grafted Butcher,rare,B
"Grimgrin, Corpse-Born",special,Multicolor
Guardian of Ghirapur,rare,W
"Gyruda, Doom of Depths",special,Multicolor
Halo Forager,uncommon,Multicolor
Halo Hopper,common,Colorless
Halo-Charged Skaab,common,U
Hangar Scrounger,common,R
Harried Artisan,uncommon,Multicolor
"Heliod, the Radiant Dawn",rare,Multicolor
Herbology Instructor,uncommon,Multicolor
Hidetsugu and Kairi,rare,Multicolor
Hoarding Broodlord,rare,B
"Horobi, Death's Wail",special,B
Ichor Drinker,common,B
Ichor Shade,common,B
"Imoti, Celebrant of Bounty",special,Multicolor
Infected Defector,common,W
Inga Rune-Eyes,special,U
Inga and Esika,rare,Multicolor
Inspired Charge,common,W
Into the Fire,rare,R
Invasion of Alara,rare,Multicolor
Invasion of Amonkhet,uncommon,Multicolor
Invasion of Arcavios,rare,U
Invasion of Azgol,uncommon,Multicolor
Invasion of Belenon,uncommon,W
Invasion of Dominaria,uncommon,W
Invasion of Eldraine,uncommon,B
Invasion of Ergamon,uncommon,Multicolor
Invasion of Fiora,rare,B
Invasion of Gobakhan,rare,W
Invasion of Ikoria,rare,G
Invasion of Innistrad,mythic,B
Invasion of Ixalan,rare,G
Invasion of Kaladesh,uncommon,Multicolor
Invasion of Kaldheim,rare,R
Invasion of Kamigawa,uncommon,U
Invasion of Karsus,rare,R
Invasion of Kylem,uncommon,Multicolor
Invasion of Lorwyn,uncommon,Multicolor
Invasion of Mercadia,uncommon,R
Invasion of Moag,uncommon,Multicolor
Invasion of Muraganda,uncommon,G
Invasion of New Capenna,uncommon,Multicolor
Invasion of New Phyrexia,mythic,Multicolor
Invasion of Pyrulea,uncommon,Multicolor
Invasion of Ravnica,mythic,Colorless
Invasion of Regatha,uncommon,R
Invasion of Segovia,rare,U
Invasion of Shandalar,mythic,G
Invasion of Tarkir,mythic,R
Invasion of Theros,rare,Multicolor
Invasion of Tolvada,rare,Multicolor
Invasion of Ulgrotha,uncommon,B
Invasion of Vryn,uncommon,U
Invasion of Xerex,uncommon,Multicolor
Invasion of Zendikar,uncommon,G
Iridescent Blademaster,common,G
"Jegantha, the Wellspring",special,Multicolor
Jin-Gitaxias,mythic,U
"Jin-Gitaxias, Core Augur",special,U
Joyful Stormsculptor,uncommon,Multicolor
"Judith, the Scourge Diva",special,Multicolor
Jungle Hollow,special,Multicolor
"Juri, Master of the Revue",special,Multicolor
"Kaheera, the Orphanguard",special,Multicolor
Kami of Whispered Hopes,uncommon,G
Karsus Depthguard,common,R
"Kenrith, the Returned King",special,Multicolor
"Keruga, the Macrosage",special,Multicolor
Khenra Spellspear,uncommon,Multicolor
Kitesail,common,Colorless
Kithkin Billyrider,common,W
Knight of the New Coalition,common,W
Knight-Errant of Eos,rare,W
Kogla and Yidaro,rare,Multicolor
Kor Halberd,common,W
Kroxa and Kunoros,mythic,Multicolor
"Kroxa, Titan of Death's Hunger",special,Multicolor
"Kwende, Pride of Femeref",special,W
"Lathiel, the Bounteous Dawn",special,Multicolor
Lithomantic Barrage,uncommon,R
Lurrus of the Dream-Den,special,Multicolor
"Lutri, the Spellchaser",special,Multicolor
Marauding Dreadship,common,R
Marshal of Zhalfir,uncommon,Multicolor
Meeting of Minds,common,U
Merciless Repurposing,uncommon,B
Mirran Banesplitter,common,R
Mirrodin Avenged,common,B
Mirror-Shield Hoplite,uncommon,Multicolor
Moment of Truth,common,U
Monastery Mentor,mythic,W
Mutagen Connoisseur,uncommon,Multicolor
Nahiri's Warcrafting,rare,R
Negate,common,U
Nezumi Freewheeler,uncommon,Multicolor
Nezumi Informant,common,B
Niv-Mizzet Reborn,special,Multicolor
Norn's Inquisitor,uncommon,W
"Obosh, the Preypiercer",special,Multicolor
Oculus Whelp,common,U
Omen Hawker,uncommon,U
"Omnath, Locus of All",rare,Multicolor
Onakke Javelineer,common,R
Oracle of Tragedy,uncommon,U
Order of the Mirror,common,Multicolor
Overgrown Pest,common,G
"Ozolith, the Shattered Spire",rare,G
Phyrexian Archivist,common,Colorless
Phyrexian Awakening,uncommon,W
Phyrexian Censor,uncommon,W
Phyrexian Gargantua,uncommon,B
Pile On,rare,B
Placid Rottentail,common,G
Polukranos Reborn,rare,Multicolor
Portent Tracker,common,G
Preening Champion,common,U
Progenitor Exarch,rare,W
Protocol Knight,common,U
Pyretic Prankster,common,Multicolor
"Quintorius, Loremaster",rare,Multicolor
"Radha, Coalition Warlord",special,Multicolor
"Raff, Weatherlight Stalwart",special,Multicolor
"Ragavan, Nimble Pilferer",special,R
Ral's Reinforcements,common,R
Ramosian Greatsword,uncommon,R
Rampaging Geoderm,uncommon,Multicolor
Rampaging Raptor,rare,R
Rankle and Torbran,rare,Multicolor
Ravenous Sailback,uncommon,G
Realmbreaker's Grasp,common,W
"Realmbreaker, the Invasion Tree",rare,Colorless
Redcap Heelslasher,common,R
"Renata, Called to the Hunt",special,G
Render Inert,uncommon,B
"Reyav, Master Smith",special,Multicolor
"Rona, Herald of Invasion",rare,Multicolor
"Rona, Sheoldred's Faithful",special,Multicolor
Rugged Highlands,special,Multicolor
Saiba Cryptomancer,common,U
Sandstalker Moloch,uncommon,G
Scorn-Blade Berserker,uncommon,B
Scoured Barrens,special,Multicolor
Scrappy Bruiser,uncommon,R
Scrollshift,common,W
Sculpted Perfection,uncommon,Multicolor
Seal from Existence,uncommon,W
Searing Barb,common,R
See Double,rare,U
Seed of Hope,common,G
"Seizan, Perverter of Truth",special,B
Seraph of New Capenna,uncommon,Multicolor
Serpent-Blade Assailant,common,G
"Shanna, Sisay's Legacy",special,Multicolor
Shatter the Source,common,R
Sheoldred,mythic,B
"Sheoldred, Whispering One",special,B
Shivan Branch-Burner,uncommon,R
Sigiled Sentinel,common,W
"Skithiryx, the Blight Dragon",special,B
Skittering Surveyor,common,Colorless
Skyclave Aerialist,uncommon,Multicolor
"Squee, the Immortal",special,R
"Sram, Senior Edificer",special,W
Stasis Field,common,U
Stoke the Flames,uncommon,R
Storm the Seedcore,uncommon,G
Stormclaw Rager,uncommon,Multicolor
Streetwise Negotiator,uncommon,G
Sun-Blessed Guardian,uncommon,Multicolor
Sunder the Gateway,common,W
Sunfall,rare,W
Surge of Salvation,uncommon,W
Swiftwater Cliffs,special,Multicolor
Sword of Once and Future,mythic,Colorless
Swordsworn Cavalier,common,W
"Taigam, Ojutai Master",special,Multicolor
Tandem Takedown,uncommon,G
Tangled Skyline,uncommon,G
Tarkir Duneshaper,common,Multicolor
Temporal Cleansing,common,U
Tenured Oilcaster,common,B
"Tetsuko Umezawa, Fugitive",special,U
Teysa Karlov,special,Multicolor
Thalia and The Gitrog Monster,mythic,Multicolor
"Thalia, Guardian of Thraben",special,W
Thornwood Falls,special,Multicolor
Thrashing Frontliner,common,R
Thunderhead Squadron,common,U
Tidal Terror,common,U
Tiller of Flesh,uncommon,W
Timberland Ancient,common,G
Trailblazing Historian,common,R
Tranquil Cove,special,Multicolor
Transcendent Message,rare,U
Traumatic Revelation,common,B
Tribute to the World Tree,rare,G
"Tymaret, Chosen from Death",special,B
"Umori, the Collector",special,Multicolor
Unseal the Necropolis,common,B
Urabrask,mythic,R
Urabrask the Hidden,special,R
Urn of Godfire,common,Colorless
"Valduk, Keeper of the Flame",special,R
Vanquish the Weak,common,B
Vengeant Earth,common,G
Volcanic Spite,common,R
Voldaren Thrillseeker,rare,R
Vorinclex,mythic,G
"Vorinclex, Voice of Hunger",special,G
War Historian,common,G
War-Trained Slasher,common,R
Wary Thespian,special,G
Wicked Slumber,uncommon,U
Wildwood Escort,common,G
Wind-Scarred Crag,special,Multicolor
Wrenn and Realmbreaker,mythic,G
Wrenn's Resolve,common,R
Xerex Strobe-Knight,uncommon,U
Yargle and Multani,rare,Multicolor
"Yargle, Glutton of Urborg",special,B
"Yarok, the Desecrated",special,Multicolor
"Yedora, Grave Gardener",special,G
"Yorion, Sky Nomad",special,Multicolor
"Zada, Hedron Grinder",special,R
Zephyr Singer,rare,U
Zhalfirin Lancer,uncommon,W
Zhalfirin Shapecraft,common,U
Zimone and Dina,mythic,Multicolor
"Zirda, the Dawnwaker",special,Multicolor
Zurgo and Ojutai,mythic,Multicolor
