name,rarity,color_identity
Effortless Master,uncommon,Multicolor
"Elspeth, Storm Slayer",mythic,W
Embermouth Sentinel,common,Colorless
Emergent Ultimatum,special,Multicolor
Encroaching Dragonstorm,uncommon,G
Equilibrium Adept,uncommon,R
Eshki Dragonclaw,rare,Multicolor
Essence Anchor,uncommon,U
Evolving Wilds,common,Colorless
Fangkeeper's Familiar,rare,Multicolor
"Felothar, Dawn of the Abzan",rare,Multicolor
Feral Deathgorger,common,B
Fire-Rim Form,common,R
Flamehold Grappler,rare,Multicolor
Fleeting Effigy,uncommon,R
Focus the Mind,common,U
Formation Breaker,uncommon,G
Fortress Kin-Guard,common,W
Fresh Start,uncommon,U
Frontier Bivouac,uncommon,Multicolor
Frontline Rush,uncommon,Multicolor
Frostcliff Siege,rare,Multicolor
Furious Forebear,uncommon,W
Genesis Ultimatum,special,Multicolor
Glacial Dragonhunt,uncommon,Multicolor
Glacierwood Siege,rare,Multicolor
Great Arashin City,rare,B
Gurmag Nightwatch,common,Multicolor
Gurmag Rakshasa,uncommon,B
Hardened Tactician,uncommon,Multicolor
Herd Heirloom,rare,G
Heritage Reclamation,common,G
Highspire Bell-Ringer,common,U
Hollowmurk Siege,rare,Multicolor
Host of the Hereafter,uncommon,Multicolor
Humbling Elder,common,U
Hundred-Battle Veteran,uncommon,B
Iceridge Serpent,common,U
Inevitable Defeat,rare,Multicolor
Inspired Ultimatum,special,Multicolor
Inspirited Vanguard,uncommon,G
Iridescent Tiger,uncommon,Multicolor
Jade-Cast Sentinel,common,Colorless
Jeskai Brushmaster,uncommon,Multicolor
Jeskai Devotee,common,Multicolor
Jeskai Monument,uncommon,Multicolor
Jeskai Revelation,mythic,Multicolor
Jeskai Shrinekeeper,uncommon,Multicolor
Jungle Hollow,common,Multicolor
Karakyk Guardian,uncommon,Multicolor
Kheru Goldkeeper,uncommon,Multicolor
Kin-Tree Nurturer,common,B
Kin-Tree Severance,uncommon,Multicolor
Kishla Skimmer,uncommon,Multicolor
Kishla Trawlers,uncommon,U
Kishla Village,rare,G
Knockout Maneuver,uncommon,G
"Kotis, the Fangkeeper",rare,Multicolor
Krotiq Nestguard,common,G
Krumar Initiate,uncommon,B
Lasyd Prowler,rare,G
Lie in Wait,uncommon,Multicolor
Lightfoot Technique,common,W
Lotuslight Dancers,rare,Multicolor
Loxodon Battle Priest,uncommon,W
Maelstrom of the Spirit Dragon,rare,Colorless
Magmatic Hellkite,rare,R
Mammoth Bellow,uncommon,Multicolor
Marang River Regent,rare,U
Mardu Devotee,common,Multicolor
Mardu Monument,uncommon,Multicolor
Mardu Siegebreaker,rare,Multicolor
Marsh Flats,special,Colorless
Marshal of the Lost,uncommon,Multicolor
Meticulous Artisan,common,R
Mistrise Village,rare,U
Misty Rainforest,special,Colorless
Molten Exhale,common,R
Monastery Messenger,common,Multicolor
Mox Jasper,mythic,Colorless
Mystic Monastery,uncommon,Multicolor
Naga Fleshcrafter,rare,U
Narset's Rebuke,common,Multicolor
"Narset, Jeskai Waymaster",rare,Multicolor
Nature's Rhythm,rare,G
"Neriv, Heart of the Storm",mythic,Multicolor
New Way Forward,rare,Multicolor
Nightblade Brigade,common,B
Nomad Outpost,uncommon,Multicolor
Opulent Palace,uncommon,Multicolor
Osseous Exhale,common,W
Overwhelming Surge,uncommon,R
Perennation,mythic,Multicolor
Piercing Exhale,common,G
Poised Practitioner,common,W
Purging Stormbrood,uncommon,Multicolor
Qarsi Revenant,rare,B
Rainveil Rejuvenator,uncommon,G
Rakshasa's Bargain,uncommon,Multicolor
Rally the Monastery,uncommon,W
Rebellious Strike,common,W
Rediscover the Way,rare,Multicolor
Reigning Victor,common,Multicolor
Reputable Merchant,common,Multicolor
Rescue Leopard,common,R
Reverberating Summons,uncommon,R
Revival of the Ancestors,rare,Multicolor
Riling Dawnbreaker,common,W
Ringing Strike Mastery,common,U
Rite of Renewal,uncommon,G
Riverwalk Technique,common,U
Riverwheel Sweep,uncommon,Multicolor
Roamer's Routine,common,G
Roar of Endless Song,rare,Multicolor
Roiling Dragonstorm,uncommon,U
Rot-Curse Rakshasa,mythic,B
Rugged Highlands,common,Multicolor
Ruinous Ultimatum,special,Multicolor
Runescale Stormbrood,uncommon,Multicolor
Sage of the Fang,uncommon,G
Sage of the Skies,rare,W
Sagu Pummeler,common,G
Sagu Wildling,common,G
Salt Road Packbeast,common,W
Salt Road Skirmish,uncommon,B
Sandskitter Outrider,common,B
Sandsteppe Citadel,uncommon,Multicolor
Sarkhan's Resolve,common,G
"Sarkhan, Dragon Ascendant",rare,R
Scalding Tarn,special,Colorless
Scavenger Regent,rare,B
Scoured Barrens,common,Multicolor
Seize Opportunity,common,R
Severance Priest,rare,Multicolor
"Shiko, Paragon of the Way",mythic,Multicolor
Shock Brigade,common,R
Shocking Sharpshooter,uncommon,R
Sibsig Appraiser,common,U
"Sidisi, Regent of the Mire",rare,B
Sinkhole Surveyor,rare,B
Skirmish Rhino,uncommon,Multicolor
Smile at Death,mythic,W
Snakeskin Veil,common,G
Snowmelt Stag,common,U
Songcrafter Mage,rare,Multicolor
Sonic Shrieker,uncommon,Multicolor
Spectral Denial,uncommon,U
Stadium Headliner,rare,R
Stalwart Successor,uncommon,Multicolor
Starry-Eyed Skyrider,uncommon,W
Static Snare,uncommon,W
Stillness in Motion,rare,U
Stormbeacon Blade,uncommon,W
Stormplain Detainment,common,W
Stormscale Scion,mythic,R
Stormshriek Feral,common,R
Strategic Betrayal,uncommon,B
Sultai Devotee,common,Multicolor
Sultai Monument,uncommon,Multicolor
Summit Intimidator,common,R
Sunpearl Kirin,uncommon,W
Sunset Strikemaster,uncommon,R
"Surrak, Elusive Hunter",rare,G
Swiftwater Cliffs,common,Multicolor
Synchronized Charge,uncommon,G
"Taigam, Master Opportunist",mythic,U
Teeming Dragonstorm,uncommon,W
Tempest Hawk,common,W
Temur Battlecrier,rare,Multicolor
Temur Devotee,common,Multicolor
Temur Monument,uncommon,Multicolor
Temur Tawnyback,common,Multicolor
Tersa Lightshatter,rare,R
"Teval, Arbiter of Virtue",mythic,Multicolor
The Sibsig Ceremony,rare,B
Thornwood Falls,common,Multicolor
Thunder of Unity,rare,Multicolor
Trade Route Envoy,common,G
Tranquil Cove,common,Multicolor
Traveling Botanist,uncommon,G
Twin Bolt,common,R
Twinmaw Stormbrood,uncommon,Multicolor
"Ugin, Eye of the Storms",mythic,Colorless
Unburied Earthcarver,common,B
Underfoot Underdogs,common,R
Undergrowth Leopard,common,G
Unending Whisper,common,U
United Battlefront,rare,W
Unrooted Ancestor,uncommon,B
Unsparing Boltcaster,uncommon,R
Ureni's Rebuff,uncommon,U
"Ureni, the Song Unending",mythic,Multicolor
Venerated Stormsinger,uncommon,B
Verdant Catacombs,special,Colorless
Veteran Ice Climber,uncommon,U
Voice of Victory,rare,W
Wail of War,uncommon,B
War Effort,uncommon,R
Warden of the Grove,rare,G
Watcher of the Wayside,common,Colorless
Wayspeaker Bodyguard,uncommon,W
Whirlwing Stormbrood,uncommon,Multicolor
Wild Ride,common,R
Wind-Scarred Crag,common,Multicolor
Windcrag Siege,rare,Multicolor
Wingblade Disciple,uncommon,U
Wingspan Stride,common,U
Winternight Stories,rare,U
Worthy Cost,common,B
Yathan Roadwatcher,rare,Multicolor
Yathan Tombguard,uncommon,B
Zurgo's Vanguard,uncommon,R
"Zurgo, Thunder's Decree",rare,Multicolor
