name,rarity,color_identity
Old Rutstein,rare,Multicolor
Olivia's Attendants,rare,R
"Olivia, Crimson Bride",mythic,Multicolor
Ollenbock Escort,uncommon,W
Overcharged Amalgam,rare,U
Packsong Pup,uncommon,G
Panicked Bystander,uncommon,Multicolor
Parasitic Grasp,uncommon,B
Parish-Blade Trainee,common,W
Patchwork Crawler,rare,U
Path of Peril,rare,Multicolor
Persistent Specimen,common,B
Piercing Light,common,W
Pointed Discussion,common,B
Pyre Spawn,common,R
Radiant Grace,uncommon,W
Ragged Recluse,common,B
Reckless Impulse,common,R
Reclusive Taxidermist,uncommon,G
Rending Flame,uncommon,R
Repository Skaab,common,U
Resistance Squad,uncommon,W
Restless Bloodseeker,uncommon,B
Retrieve,uncommon,G
Rot-Tide Gargantua,common,B
Runebound Wolf,uncommon,R
Runo Stromkirk,rare,Multicolor
Rural Recruit,common,G
Sanctify,common,W
Sanguine Statuette,uncommon,R
Savior of Ollenbock,mythic,W
Sawblade Slinger,uncommon,G
Scattered Thoughts,common,U
Screaming Swarm,uncommon,U
Selhoff Entomber,common,U
Serpentine Ambush,common,U
Shattered Sanctum,rare,Multicolor
Sheltering Boughs,common,G
Sigarda's Imprisonment,common,W
Sigarda's Summons,rare,W
Sigardian Paladin,uncommon,Multicolor
Skulking Killer,uncommon,B
Skull Skaab,uncommon,Multicolor
Skywarp Skaab,common,U
Snarling Wolf,common,G
Sorin the Mirthless,mythic,B
Soulcipher Board,uncommon,U
Spiked Ripsaw,uncommon,G
Splendid Reclamation,special,G
Spore Crawler,common,G
Sporeback Wolf,common,G
Steelclad Spirit,common,U
Stensia Uprising,rare,R
Stitched Assistant,common,U
Stormcarved Coast,rare,Multicolor
Stormchaser Drake,uncommon,U
Sundown Pass,rare,Multicolor
Supernatural Rescue,common,W
Sure Strike,special,R
Syncopate,common,U
Syphon Essence,common,U
"Thalia, Guardian of Thraben",special,W
Thirst for Discovery,uncommon,U
"Torens, Fist of the Angels",rare,Multicolor
Toxic Scorpion,common,G
"Toxrill, the Corrosive",mythic,Multicolor
Traveling Minister,common,W
Twinblade Geist,uncommon,W
Ulvenwald Oddity,rare,G
Undead Butler,uncommon,B
Undying Malice,common,B
Unhallowed Phalanx,common,B
Unholy Officiant,common,W
Valorous Stance,uncommon,W
Vampire Slayer,common,W
Vampire's Kiss,common,B
Vampires' Vengeance,uncommon,R
Vilespawn Spider,uncommon,Multicolor
Voice of the Blessed,rare,W
Volatile Arsonist,mythic,R
Voldaren Bloodcaster,rare,B
Voldaren Epicure,common,R
Voldaren Estate,rare,Colorless
Voltaic Visionary,uncommon,R
Wandering Mind,uncommon,Multicolor
Wanderlight Spirit,common,U
Wash Away,uncommon,U
Weary Prisoner,common,R
Weaver of Blossoms,common,G
Wedding Announcement,rare,W
Wedding Invitation,common,Colorless
Wedding Security,uncommon,B
Welcoming Vampire,rare,W
Whispering Wizard,uncommon,U
Winged Portent,rare,Multicolor
Witch's Web,common,G
Witness the Future,uncommon,U
Wolf Strike,common,G
Wolfkin Outcast,uncommon,G
Wretched Throng,common,U
